id,weight,classes,circuit,station,pool,visits,daypart,doctor,wom,advert,speaker,location,article,other,fitness,social,enjoy,medical,recom,event,age,gender,educat,income,status,revenue
1,1,0,0,0,0,8,1,0,1,0,0,0,0,0,5,4,5,2,10,1,69,2,2,#NULL!,1,375
2,0,1,0,0,0,10,1,0,0,0,0,0,1,0,5,5,5,#NULL!,10,1,77,2,3,#NULL!,2,325
3,1,1,0,0,0,14,1,0,0,0,0,0,0,1,5,3,3,4,10,5,75,2,5,5,2,547.5
4,1,1,1,1,1,12,2,0,0,0,0,0,0,0,5,3,3,#NULL!,10,3,74,2,5,#NULL!,2,557.5
5,0,0,0,0,1,14,1,0,1,0,0,0,0,0,5,1,4,4,10,5,87,2,5,5,2,400
6,0,0,1,0,1,12,1,0,1,0,0,0,0,0,5,3,3,5,8,5,74,2,2,1,2,587.5
7,0,1,1,0,0,16,1,0,0,0,0,0,0,1,5,4,3,4,10,3,66,2,6,5,2,362.5
8,0,0,0,0,1,20,1,0,0,0,0,0,1,0,3,5,5,#NULL!,10,1,72,2,2,3,2,280
9,1,0,0,0,0,12,2,0,1,0,0,0,0,0,5,3,4,4,10,3,80,1,#NULL!,4,2,360
10,0,0,1,1,1,20,1,1,0,0,1,0,0,0,5,4,4,5,10,3,75,2,3,3,2,516.5
11,0,0,1,0,1,#NULL!,1,1,0,0,0,0,0,1,5,3,3,4,10,1,88,2,2,2,2,575
12,0,1,0,0,1,20,1,0,0,0,0,0,1,0,5,1,3,3,10,3,76,#NULL!,3,4,2,425
13,0,0,0,0,1,8,1,1,0,0,0,0,0,0,5,4,4,5,10,3,75,2,3,4,2,554
14,0,0,0,0,1,8,1,1,0,0,0,0,0,0,4,3,3,3,8,1,78,1,3,4,2,385
15,0,1,0,1,0,12,1,0,1,0,0,0,0,0,5,5,5,5,10,4,71,2,3,3,2,557.5
16,1,0,0,0,0,6,2,0,0,0,0,0,0,1,1,1,3,1,1,1,78,1,3,3,#NULL!,280
17,1,0,0,0,1,18,2,0,0,0,1,0,0,0,5,4,4,5,10,4,70,2,5,3,2,542.5
18,1,0,1,0,0,20,1,0,0,0,1,1,1,0,5,4,4,1,7,5,63,2,5,7,1,240
19,0,0,1,0,0,10,1,0,1,0,0,0,0,1,5,#NULL!,5,4,9,3,66,2,6,3,1,565
20,0,0,0,0,1,12,1,1,0,0,0,0,0,0,4,#NULL!,#NULL!,5,10,1,85,2,3,#NULL!,2,285
21,0,1,0,0,0,20,1,0,0,0,0,0,0,1,5,4,4,5,10,1,79,#NULL!,6,#NULL!,2,547.5
22,1,1,1,1,0,15,2,1,0,0,0,0,0,0,5,3,2,4,7,3,90,1,6,5,2,390
23,0,0,1,0,1,18,1,0,1,1,0,0,1,0,5,4,5,5,10,4,87,2,3,4,#NULL!,525
24,1,0,1,0,0,5,1,0,0,0,0,0,0,1,5,2,3,4,10,2,80,1,6,5,2,542.5
25,0,0,0,0,1,6,1,0,1,0,0,0,0,0,5,5,5,5,10,3,79,2,6,6,2,325
26,0,0,0,0,1,9,2,0,1,0,0,0,0,0,5,4,5,5,10,3,78,2,1,2,2,575
27,0,0,0,0,1,8,2,0,0,0,1,1,0,0,5,4,4,5,10,#NULL!,70,2,2,#NULL!,2,320
28,1,1,1,1,1,20,1,0,0,0,0,1,1,0,5,4,3,4,10,3,86,2,6,4,2,547.5
29,1,1,0,0,0,8,1,1,0,0,0,0,0,0,5,4,3,4,9,4,65,#NULL!,6,7,2,390
30,1,0,0,1,0,16,1,0,1,0,0,0,0,1,5,2,3,3,10,3,55,2,5,7,2,400
31,0,0,0,0,0,#NULL!,#NULL!,1,0,0,0,0,0,0,5,3,#NULL!,5,8,5,77,1,3,#NULL!,2,290
32,1,1,1,0,0,#NULL!,#NULL!,0,0,0,0,0,0,0,5,1,4,4,10,2,67,2,5,6,1,335
33,1,0,0,0,1,19,1,0,1,0,0,0,0,0,5,4,5,3,10,3,70,2,5,4,2,529
34,0,0,0,0,1,10,2,0,0,0,0,0,1,0,5,4,5,#NULL!,10,1,71,2,3,#NULL!,2,567.5
35,1,1,1,1,0,12,1,0,1,0,0,0,0,0,5,5,5,4,10,1,74,2,1,#NULL!,2,397.5
36,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,4,5,5,10,4,66,2,2,6,2,310
37,1,1,1,1,1,22,1,0,1,0,1,0,0,1,5,5,4,5,10,3,75,2,6,9,2,562.5
38,1,0,0,0,1,20,1,0,0,0,0,0,0,1,5,5,4,5,10,1,77,1,6,6,2,340
39,0,1,0,0,1,10,1,0,1,0,0,0,0,0,5,4,#NULL!,#NULL!,10,3,40,2,6,6,2,547.5
40,0,1,1,1,1,20,1,0,0,1,0,0,0,0,5,5,5,4,10,2,77,2,5,4,2,400
41,0,0,0,0,1,25,2,0,0,0,1,0,0,0,5,5,5,5,10,1,75,1,2,#NULL!,2,557.5
42,1,1,1,1,1,20,1,0,0,0,0,1,0,0,5,4,4,4,9,2,69,2,3,3,1,280
43,0,0,0,0,1,12,1,0,1,0,0,0,0,0,4,4,4,5,10,3,71,2,2,5,2,562.5
44,1,1,0,0,1,7,1,1,0,0,0,0,0,1,5,4,5,5,10,3,67,2,6,7,2,345
45,1,0,0,0,0,12,1,1,0,0,0,0,0,0,4,3,3,4,8,3,80,1,6,6,2,542.5
46,1,1,0,0,1,25,#NULL!,1,0,0,0,0,0,0,5,4,4,5,9,1,77,2,6,#NULL!,2,330
47,0,0,1,0,0,10,1,0,1,0,0,0,0,0,5,3,4,4,9,3,85,2,5,4,2,561.5
48,0,1,0,0,1,#NULL!,1,0,1,0,0,0,1,0,4,3,4,3,10,1,79,2,2,2,2,275
49,1,0,1,0,0,6,1,0,1,0,0,0,0,0,5,5,5,5,10,3,74,2,5,#NULL!,2,642.5
50,0,0,0,0,1,8,2,0,0,0,0,0,1,0,5,4,5,5,10,3,58,2,4,5,2,400
51,0,1,0,0,0,12,1,0,1,0,0,0,0,0,5,2,2,5,10,2,70,2,3,4,2,566.5
52,0,0,0,0,1,12,1,0,0,0,0,0,1,0,4,2,2,5,10,#NULL!,61,2,5,5,2,577.5
53,0,1,0,0,0,#NULL!,#NULL!,1,0,0,0,0,0,0,5,#NULL!,#NULL!,5,9,4,82,2,4,5,2,200
54,1,0,1,0,0,20,1,0,0,0,0,0,0,1,5,2,4,5,10,4,77,2,2,#NULL!,2,230
55,1,0,1,0,0,13,2,0,1,0,0,0,0,0,#NULL!,#NULL!,#NULL!,#NULL!,10,1,76,1,6,4,#NULL!,285
56,1,0,1,0,0,9,2,0,1,0,0,0,0,0,5,4,3,1,10,3,71,2,3,4,2,627.5
57,1,0,1,0,0,22,1,0,0,0,1,0,0,0,5,3,3,5,10,3,64,2,3,5,2,250
58,1,0,0,0,0,12,1,0,1,0,0,0,0,0,5,2,1,4,10,1,82,1,6,5,2,461.5
59,0,0,0,0,0,#NULL!,#NULL!,0,0,0,0,0,0,1,5,3,3,5,8,2,63,2,6,#NULL!,2,580
60,1,0,1,0,1,12,1,0,0,0,0,0,0,1,5,4,5,5,10,3,54,2,3,5,2,310
61,1,1,0,0,0,7,1,1,0,0,0,1,1,0,5,5,5,4,10,3,79,2,3,5,2,507.5
62,0,0,0,1,1,25,1,0,1,0,0,1,0,0,5,5,5,5,10,3,57,2,5,2,2,295
63,0,1,0,0,1,24,1,0,0,0,0,0,0,1,5,#NULL!,#NULL!,5,10,3,67,2,2,3,2,495
64,0,0,1,0,0,8,2,0,1,0,0,0,0,0,5,2,5,1,8,1,59,2,2,6,1,495
65,0,0,0,0,1,20,2,0,0,0,0,0,0,1,5,4,5,4,10,1,82,2,5,#NULL!,2,530
66,1,0,0,0,1,10,1,0,1,0,0,0,0,0,5,3,5,5,10,5,65,2,6,5,2,462.5
67,1,1,0,0,0,12,1,0,0,0,0,0,0,1,5,4,4,#NULL!,10,1,82,2,6,6,2,449
68,0,1,0,0,1,10,1,0,1,0,1,0,0,0,5,4,4,5,10,4,89,2,6,#NULL!,2,350
69,0,0,0,0,1,8,1,0,1,0,0,0,0,0,5,4,4,5,10,3,54,#NULL!,4,2,1,485
70,0,1,0,0,1,18,1,0,0,1,0,0,0,0,5,3,5,5,10,2,85,2,3,2,2,435
71,0,0,0,0,1,12,2,0,0,0,0,0,0,1,5,1,3,5,7,2,88,2,6,#NULL!,2,447.5
72,0,1,0,1,1,20,1,0,1,0,0,0,0,0,5,3,5,5,10,2,82,2,2,4,2,534
73,0,1,0,0,1,20,1,1,0,0,0,0,0,0,5,3,5,4,10,3,53,2,3,7,2,455
74,0,0,0,0,1,8,1,0,1,0,1,0,0,0,5,#NULL!,#NULL!,5,5,3,82,2,3,2,2,390
75,1,0,0,1,0,12,1,0,0,0,1,0,0,0,5,3,4,4,10,6,82,2,5,4,2,496.5
76,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,3,3,4,9,3,75,2,6,#NULL!,#NULL!,427.5
77,1,0,0,0,0,12,1,0,1,0,0,0,0,0,5,3,4,4,10,3,57,1,6,9,1,496.5
78,0,1,0,0,1,12,1,1,1,0,0,0,0,0,5,2,3,5,8,3,82,2,4,3,2,450
79,1,0,0,0,0,18,1,0,1,0,0,0,0,0,4,1,1,4,10,2,79,2,5,#NULL!,2,392.5
80,0,0,0,0,1,#NULL!,1,0,0,0,1,0,0,0,5,5,5,5,10,1,76,2,4,8,2,500
81,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,5,#NULL!,#NULL!,10,3,86,1,6,7,2,500
82,0,0,1,1,1,20,1,1,0,0,0,0,0,0,1,#NULL!,#NULL!,#NULL!,10,6,87,2,2,#NULL!,#NULL!,315
83,1,0,0,0,0,2,1,0,1,0,0,0,0,0,5,1,4,4,9,4,79,1,2,3,2,310
84,0,0,0,0,1,#NULL!,#NULL!,0,0,0,0,0,0,1,5,#NULL!,#NULL!,#NULL!,10,3,76,2,#NULL!,#NULL!,#NULL!,391.5
85,0,1,0,1,1,16,1,1,1,1,1,1,1,0,1,2,1,1,1,1,84,2,2,1,2,376.5
86,0,1,0,1,0,12,1,0,1,0,1,0,0,0,5,5,5,5,10,2,65,2,6,3,2,360
87,1,0,1,0,0,10,1,0,1,0,0,0,0,0,5,2,3,4,9,3,69,2,4,5,2,452.5
88,1,0,0,0,0,8,1,0,1,0,0,0,0,0,5,1,4,1,9,3,18,#NULL!,#NULL!,#NULL!,2,446.5
89,1,1,0,0,0,10,1,0,1,0,0,0,0,0,4,3,3,4,8,1,61,#NULL!,6,4,2,412.5
90,0,0,0,0,1,6,2,0,0,1,0,0,1,0,5,3,5,5,10,1,67,#NULL!,6,4,2,255
91,0,1,0,0,1,8,1,1,0,0,0,0,0,0,5,#NULL!,#NULL!,4,10,2,67,2,6,8,2,396.5
92,1,0,0,0,0,10,1,0,1,0,0,0,0,0,5,3,3,4,7,2,75,1,6,8,2,235
93,1,1,0,0,1,10,1,1,1,0,0,0,1,0,5,3,4,5,10,3,61,2,5,4,#NULL!,309
94,0,1,0,0,1,2,1,0,0,0,0,0,0,0,5,5,5,5,10,2,60,2,5,5,2,439
95,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5,5,#NULL!,9,1,87,1,6,#NULL!,2,265
96,0,0,0,0,0,#NULL!,1,0,1,0,0,0,0,0,4,2,4,4,9,1,68,1,6,8,2,297.5
97,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,3,4,3,10,1,69,2,6,4,2,336.5
98,0,0,0,0,0,0,1,1,0,1,1,0,1,0,5,5,5,5,10,1,55,2,5,4,2,336.5
99,1,0,0,0,0,12,2,0,1,0,0,0,0,0,5,#NULL!,#NULL!,5,8,1,60,1,6,8,2,320
100,0,0,0,0,1,20,1,1,1,0,0,0,0,0,5,5,5,5,10,3,#NULL!,2,#NULL!,#NULL!,2,285
101,0,1,1,0,1,#NULL!,1,1,0,0,0,0,0,1,5,3,3,5,10,3,70,2,6,#NULL!,2,362.5
102,0,0,1,0,0,10,1,0,1,0,0,0,0,0,5,2,3,1,10,1,79,2,6,4,2,295
103,0,0,0,0,0,#NULL!,#NULL!,0,1,0,0,0,1,0,5,5,5,5,10,3,#NULL!,2,3,#NULL!,2,415
104,0,0,0,0,1,29,1,0,0,0,0,0,0,1,5,5,5,5,10,1,54,2,6,2,2,179
105,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,2,3,10,3,80,1,5,8,2,375
106,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,3,4,1,10,3,77,2,3,#NULL!,1,350
107,0,0,0,0,0,#NULL!,#NULL!,1,0,0,0,0,0,0,5,#NULL!,#NULL!,#NULL!,8,1,84,2,2,2,2,322.5
108,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,5,#NULL!,10,1,43,2,5,2,2,409
109,0,1,0,0,1,5,#NULL!,1,0,0,0,0,0,0,5,3,4,5,10,3,66,2,5,9,2,179
110,0,0,1,1,0,1,1,0,0,0,0,0,0,1,5,4,5,4,10,3,58,2,6,#NULL!,1,216.5
111,0,0,0,0,0,#NULL!,#NULL!,0,1,0,0,0,0,0,5,#NULL!,5,5,5,3,75,2,5,#NULL!,2,385
112,0,0,0,0,1,5,1,1,1,0,0,0,0,0,5,3,5,5,10,1,80,2,2,2,2,387.5
113,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,4,5,10,3,63,1,6,9,1,361.5
114,0,0,0,0,1,15,1,1,1,0,0,0,0,0,5,5,5,5,10,1,86,2,3,#NULL!,2,272.5
115,0,0,0,0,0,0,#NULL!,0,1,0,0,0,0,0,5,1,4,#NULL!,10,3,89,2,6,3,#NULL!,386.5
116,0,0,0,0,1,6,1,0,0,0,0,0,0,1,5,#NULL!,#NULL!,#NULL!,10,3,71,2,3,4,2,304
117,0,1,0,0,1,6,1,0,1,0,0,0,1,0,5,5,5,5,10,3,69,2,6,7,2,391.5
118,0,0,0,0,0,#NULL!,1,0,1,0,1,0,0,0,3,#NULL!,#NULL!,4,10,6,73,1,6,5,2,291.5
119,1,0,1,1,1,20,1,1,0,0,0,0,0,0,5,4,4,5,10,2,74,2,3,3,2,147
120,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,3,3,4,10,3,74,2,6,9,1,355
121,1,0,1,0,0,#NULL!,2,0,0,0,1,0,0,0,5,4,4,3,10,2,64,1,6,5,2,205
122,0,0,0,0,1,15,1,1,0,1,0,0,0,0,5,5,5,5,10,4,86,2,3,4,2,157.5
123,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,2,3,5,10,3,74,2,3,2,2,195
124,1,1,0,0,1,5,1,0,0,0,0,0,1,0,5,3,5,5,10,1,66,2,6,4,#NULL!,127.5
125,0,1,0,0,1,16,2,1,0,0,0,0,0,0,5,4,5,3,10,1,66,2,5,6,#NULL!,220
126,0,0,1,0,1,28,1,0,0,0,0,1,0,0,4,4,5,4,8,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,104
127,0,0,0,0,0,#NULL!,1,1,1,0,0,0,0,0,2,2,2,4,10,1,68,2,5,5,2,132.5
128,1,1,0,0,1,12,2,0,1,0,0,0,0,0,5,4,4,1,10,3,64,2,6,4,2,260
129,0,1,0,0,1,10,1,0,0,1,0,0,1,0,5,4,4,4,10,3,50,2,6,3,2,140
130,0,0,0,0,1,20,1,1,0,0,0,0,0,1,5,3,5,4,10,3,51,2,5,2,#NULL!,117.5
131,0,0,0,0,0,6,1,0,1,0,0,0,0,0,5,3,4,1,10,1,63,2,6,7,2,209
132,0,0,0,0,0,#NULL!,1,0,0,0,0,0,0,1,5,#NULL!,#NULL!,4,9,#NULL!,72,1,6,6,2,271.5
133,1,1,0,0,0,4,1,0,1,0,0,0,0,0,5,4,5,4,10,1,71,1,6,#NULL!,#NULL!,209
134,0,0,0,0,0,0,#NULL!,0,1,0,0,0,0,0,1,#NULL!,#NULL!,#NULL!,10,1,89,2,3,#NULL!,2,87.5
135,0,1,0,0,1,20,1,1,0,0,0,1,0,0,4,3,4,4,8,1,62,2,3,7,2,117.5
136,1,0,1,1,1,3,1,0,1,0,0,0,0,0,5,3,4,3,8,1,48,2,5,4,2,106.5
137,1,0,1,0,0,18,1,0,1,0,0,0,0,0,5,4,3,1,10,3,54,1,6,4,2,129
138,1,0,0,0,1,8,1,0,1,0,0,0,0,0,5,3,3,2,10,3,66,2,6,7,2,265
139,0,0,0,1,1,8,1,1,1,0,0,0,0,0,5,1,4,4,10,1,81,2,6,#NULL!,2,87.5
140,1,1,1,1,0,13,1,0,1,0,0,0,0,0,4,2,4,3,10,#NULL!,#NULL!,2,6,#NULL!,2,192.5
141,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5,5,5,10,3,63,2,5,#NULL!,2,200
142,0,1,0,0,1,16,3,0,1,0,0,0,0,0,5,3,4,4,10,4,47,2,5,8,1,220
143,0,0,1,0,1,#NULL!,1,0,1,0,0,0,0,0,5,3,4,5,10,#NULL!,60,2,4,3,2,220
144,1,0,1,0,0,#NULL!,1,0,1,0,0,0,0,0,4,2,4,2,9,3,69,1,5,5,2,67.5
145,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,3,4,5,7,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,210
146,0,1,0,0,1,#NULL!,1,0,0,0,1,0,0,0,5,3,3,5,10,4,73,2,6,2,1,194
147,0,1,0,0,0,16,#NULL!,0,0,1,0,0,1,0,5,4,5,5,10,1,55,2,6,5,#NULL!,160
148,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,4,5,5,10,1,63,2,1,4,2,282.5
149,1,0,0,0,0,10,2,0,0,0,0,0,0,1,5,5,5,1,9,1,64,2,6,6,1,202.5
150,0,1,0,0,1,18,2,0,0,0,0,1,0,0,4,2,4,4,9,1,50,2,5,#NULL!,1,155
151,0,0,0,0,1,#NULL!,2,0,1,0,0,0,0,0,5,3,5,3,10,1,61,2,6,6,1,260
152,0,0,0,0,1,6,1,1,1,0,0,0,0,0,5,5,5,5,7,3,71,2,2,3,2,95
153,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,#NULL!,#NULL!,4,10,1,59,2,6,4,#NULL!,240
154,0,1,0,0,1,12,2,1,0,0,0,0,0,0,5,1,5,5,10,3,67,2,6,3,1,282.5
155,0,0,0,1,1,13,1,1,1,0,0,0,0,0,5,1,3,5,10,2,60,1,2,3,#NULL!,100
156,0,0,0,0,1,2,1,0,1,0,0,0,0,0,5,5,5,5,10,4,68,2,2,3,2,67.5
157,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,1,4,5,10,1,57,2,6,8,2,237.5
158,0,1,0,0,1,15,2,0,1,0,0,0,0,0,5,5,5,5,10,3,50,2,6,5,1,210
159,1,0,1,0,0,20,1,0,0,1,0,1,0,0,5,2,4,1,8,3,45,2,6,4,1,118.5
160,0,0,0,0,0,#NULL!,1,0,1,0,0,0,0,0,5,2,2,5,8,2,51,2,6,8,1,107.5
161,0,0,0,0,1,8,3,0,1,0,0,0,0,0,5,3,4,5,10,1,67,2,6,3,1,260
162,1,0,0,0,1,12,2,0,0,0,0,0,1,0,5,2,3,4,10,3,63,2,6,5,2,211.5
163,0,1,1,0,1,15,2,0,0,0,0,0,1,0,5,3,5,1,10,1,63,1,6,5,1,212.5
164,1,0,0,0,0,22,1,0,1,0,0,1,0,0,5,2,3,4,10,5,82,2,6,7,2,85
165,0,0,1,0,0,15,1,0,1,0,0,0,0,0,5,4,4,4,10,2,63,2,3,6,1,220
166,1,0,0,0,1,12,1,1,1,0,0,0,0,0,5,3,5,5,10,1,63,2,2,4,2,190
167,0,0,0,0,1,5,2,0,0,0,0,0,1,0,5,1,1,5,10,3,81,2,5,1,2,46
168,0,0,0,0,0,0,2,0,0,1,0,0,1,0,5,#NULL!,#NULL!,5,10,2,78,2,2,2,2,45
169,1,1,0,0,0,21,1,0,1,0,0,0,0,0,5,2,3,2,9,2,71,1,6,#NULL!,2,45
170,0,0,0,0,0,#NULL!,2,0,1,0,0,0,0,0,5,1,1,5,10,2,62,2,3,2,1,165
171,0,0,0,0,1,10,2,0,1,0,0,0,0,0,5,4,3,5,10,2,78,1,6,4,2,205
172,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,#NULL!,4,4,10,3,84,2,3,4,2,157.5
173,0,0,0,1,0,15,1,0,0,0,0,0,1,0,5,1,3,5,10,4,61,2,3,#NULL!,1,36.5
174,1,0,1,1,0,15,1,0,0,0,0,0,1,0,5,3,5,4,9,1,65,1,3,#NULL!,2,36.5
175,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,4,4,10,3,59,1,6,5,#NULL!,190
176,0,0,0,0,1,#NULL!,1,0,1,0,1,0,0,0,5,3,5,5,10,3,73,2,6,7,2,45
177,1,0,0,0,1,2,1,0,1,1,0,0,0,0,5,4,4,5,10,#NULL!,36,2,3,4,#NULL!,90
178,1,0,0,0,1,6,2,1,1,0,0,0,0,0,5,3,4,4,10,4,76,2,5,4,2,167.5
179,1,1,1,0,1,10,3,1,0,0,0,0,0,0,5,1,3,3,7,1,35,2,5,5,1,185
180,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,5,5,8,3,59,2,3,4,1,210
181,1,0,1,1,0,10,1,1,1,0,0,0,0,0,5,3,5,5,10,1,78,2,2,1,2,125
182,0,0,1,0,1,12,1,1,0,0,0,0,0,0,5,#NULL!,#NULL!,#NULL!,10,4,82,1,2,4,2,35
183,0,1,0,0,0,6,1,0,0,0,1,0,0,0,5,3,4,5,8,2,85,2,6,#NULL!,2,37.5
184,0,0,0,0,0,8,3,0,0,0,0,0,1,0,5,4,5,2,9,1,53,2,5,9,1,90
185,0,0,0,0,0,0,1,0,1,0,0,0,0,0,#NULL!,#NULL!,#NULL!,#NULL!,7,1,71,1,6,9,2,21.5
186,1,0,1,0,0,12,3,0,0,0,0,0,0,1,5,3,4,2,10,4,49,2,5,2,1,200
187,0,0,0,0,1,20,1,1,1,0,0,0,0,0,5,1,4,4,9,1,70,1,6,6,2,22.5
188,0,0,0,1,1,2,1,0,1,0,0,0,0,0,5,4,4,4,10,1,53,2,3,4,1,22.5
189,0,0,0,0,1,12,1,0,0,0,1,1,1,0,5,2,3,5,10,1,78,2,5,5,#NULL!,215
190,0,0,0,0,1,#NULL!,1,0,1,0,0,0,0,0,4,2,4,3,10,3,74,2,5,#NULL!,2,27.5
191,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,#NULL!,#NULL!,5,8,1,68,2,6,4,2,22.5
192,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,2,2,5,10,4,59,2,2,7,#NULL!,200
193,0,1,0,0,1,12,2,0,1,0,0,0,1,0,5,5,4,4,10,1,56,2,5,4,1,22.5
194,0,0,0,0,0,9,1,0,1,0,0,0,0,0,5,2,5,4,9,3,64,2,3,5,1,65
195,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,#NULL!,#NULL!,5,9,3,72,2,5,6,#NULL!,140
196,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,3,4,5,10,1,63,1,1,2,2,45
197,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,3,4,4,10,3,76,2,3,1,2,200
198,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,1,3,8,1,53,2,2,#NULL!,#NULL!,45
199,0,0,0,0,0,#NULL!,1,0,0,0,0,0,0,1,4,#NULL!,#NULL!,5,7,3,60,2,3,4,1,10
200,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,2,3,5,10,3,55,2,6,4,1,22.5
201,0,0,0,0,0,#NULL!,#NULL!,0,1,0,0,0,0,0,4,#NULL!,#NULL!,4,8,4,71,1,6,2,2,21.5
202,1,0,0,0,0,#NULL!,2,0,1,0,0,0,0,0,5,#NULL!,#NULL!,#NULL!,9,3,62,1,3,4,1,190
203,0,0,0,0,0,#NULL!,3,0,1,0,0,0,0,0,5,2,5,3,5,3,59,2,2,2,1,64
204,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,3,5,5,3,60,2,6,3,#NULL!,30
205,1,0,0,0,0,12,1,0,1,0,0,0,0,0,1,4,3,3,3,1,46,1,5,6,1,180
206,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,#NULL!,#NULL!,#NULL!,10,3,63,2,5,#NULL!,#NULL!,54
207,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,5,1,10,3,79,1,6,6,2,85
208,1,0,0,0,0,6,1,1,0,0,0,0,0,0,5,4,3,3,10,3,73,1,5,3,2,289
209,0,0,0,0,0,#NULL!,2,0,1,1,1,0,1,0,4,3,2,2,1,3,#NULL!,2,5,#NULL!,1,170
210,0,0,0,0,0,6,2,0,1,0,0,0,0,0,5,#NULL!,#NULL!,#NULL!,10,2,61,2,5,#NULL!,1,458
211,0,1,0,1,1,3,1,1,0,0,0,0,0,0,5,5,5,5,10,3,87,2,2,1,2,45
212,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,4,#NULL!,5,10,3,72,1,3,2,2,362.5
213,1,0,0,0,0,10,1,0,1,0,0,0,0,0,2,1,1,1,5,3,73,1,3,3,2,287.5
214,0,1,0,0,0,12,2,1,0,1,0,0,1,0,5,4,5,5,10,1,59,2,5,#NULL!,2,332.5
215,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,2,1,3,8,3,38,2,5,5,1,306.5
216,1,0,0,0,1,17,1,0,1,0,0,1,1,0,5,2,4,3,10,3,65,2,5,5,2,80
217,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,1,2,2,6,2,67,2,5,3,1,414
218,0,0,1,0,0,#NULL!,2,0,0,0,0,0,1,0,4,1,4,3,9,5,64,2,3,5,1,70
219,0,0,0,0,0,0,2,1,0,0,0,0,1,0,3,2,2,3,7,3,82,2,2,1,2,202.5
220,1,0,1,1,0,6,1,0,1,0,0,0,1,0,5,1,4,5,10,3,73,2,5,9,2,265
221,0,0,0,0,1,8,3,0,0,0,0,1,0,0,5,2,5,4,9,2,48,2,5,8,1,95
222,0,0,0,0,0,#NULL!,1,0,1,0,0,0,0,0,5,5,5,#NULL!,10,1,83,2,2,#NULL!,#NULL!,118.5
223,1,0,1,0,1,18,1,0,1,0,0,0,0,0,5,3,4,4,10,2,63,2,5,9,1,60
224,0,0,0,0,0,0,#NULL!,0,0,0,1,0,0,0,5,3,4,4,10,3,74,1,3,#NULL!,2,0
225,0,1,0,0,1,8,1,0,1,0,0,0,0,0,5,4,5,5,10,1,66,2,6,3,2,287.5
226,0,0,0,0,0,#NULL!,#NULL!,1,1,0,0,0,0,0,4,2,3,4,9,3,52,2,2,#NULL!,1,0
227,0,1,0,0,1,10,3,1,0,0,0,0,0,0,4,3,5,5,10,#NULL!,49,2,2,2,1,52.5
228,0,0,0,0,0,0,2,0,1,0,0,0,1,0,4,3,3,4,8,3,61,2,6,8,1,230
229,1,0,1,0,1,20,1,0,0,0,0,0,0,1,5,3,5,5,10,3,#NULL!,1,2,#NULL!,2,210
230,1,1,1,0,0,16,1,0,0,0,0,0,0,1,5,5,5,1,10,1,71,2,3,6,2,42.5
231,1,0,1,0,0,11,1,0,1,0,0,0,0,0,5,3,4,5,10,3,58,2,6,8,2,65